x,china,china-taiwan,china-taiwan-europe,china-taiwan-europe-japan,china-taiwan-europe-japan-malaysia,china-taiwan-europe-japan-malaysia-us,total
2009.80585,8.1496,11.2255,14.2314,17.0385,18.4916,19.7294,20.8003
2009.81379,8.213,11.3042,14.3141,17.1224,18.5853,19.8239,20.8976
2009.82436,8.2974,11.409,14.4244,17.2343,18.7102,19.9498,21.0272
2009.83663,8.3954,11.5306,14.5523,17.364,18.855,20.0957,21.1775
2009.86049,8.5861,11.7675,14.8012,17.6165,19.1366,20.3796,21.4698
2009.8873,8.8006,12.0337,15.0809,17.9,19.4528,20.6982,21.7977
2009.91535,9.025,12.3122,15.3733,18.1962,19.783,21.0308,22.1399
2010.71556,15.0985,19.5826,22.8286,25.6917,27.9207,29.1213,30.4428
2010.72831,15.1846,19.678,22.9218,25.7846,28.0157,29.2129,30.5367
2010.73774,15.248,19.748,22.99,25.8525,28.0849,29.2797,30.6051
2010.75763,15.3807,19.8938,23.1318,25.9937,28.2282,29.4176,30.7466
2010.78289,15.5475,20.0757,23.3078,26.1689,28.4052,29.5875,30.921
2010.81131,15.7328,20.2758,23.5003,26.3605,28.5977,29.7718,31.1105
2010.85194,15.9928,20.5534,23.7655,26.6249,28.8612,30.0231,31.3694
2011.67778,19.7315,24.6651,27.2996,30.2417,32.3186,33.2293,34.7904
2011.69163,19.764,24.719,27.3385,30.2842,32.3614,33.2695,34.8354
2011.69936,19.7816,24.7489,27.3601,30.3077,32.3852,33.2919,34.8606
2011.71831,19.8233,24.8222,27.4124,30.3652,32.4437,33.3471,34.9226
2011.74547,19.8794,24.9265,27.4864,30.4466,32.5276,33.4266,35.012
2011.7688,19.924,25.0158,27.5489,30.516,32.5999,33.4954,35.0895
2011.81575,20.0035,25.1944,27.6725,30.6545,32.7466,33.636,35.2482
2012.62936,21.1876,29.2275,30.6576,34.1414,36.7654,37.6534,39.7951
2012.64649,21.2556,29.3561,30.7657,34.2655,36.907,37.7955,39.9553
2012.6547,21.2896,29.4188,30.8186,34.3263,36.9762,37.8649,40.0335
2012.67762,21.3892,29.5973,30.9701,34.5,37.1735,38.0626,40.2561
2012.70888,21.537,29.8495,31.1862,34.747,37.4526,38.342,40.5699
2012.72093,21.5978,29.9495,31.2725,34.8453,37.5632,38.4525,40.694
2012.79564,22.027,30.6037,31.8437,35.4896,38.2838,39.1713,41.4983
2013.52576,29.5382,38.4011,39.1445,43.1864,46.7378,47.527,50.6394
2013.55227,29.8313,38.6686,39.4092,43.4472,47.0283,47.8135,50.9444
2013.55851,29.8996,38.7309,39.471,43.5079,47.096,47.8803,51.0156
2013.58948,30.2338,39.0353,39.774,43.8039,47.4273,48.2074,51.3639
2013.62415,30.5978,39.3666,40.1058,44.1256,47.7902,48.5661,51.7464
2013.63075,30.6658,39.4285,40.1681,44.1857,47.8584,48.6336,51.8185
2013.70601,31.4078,40.1081,40.8576,44.8489,48.6193,49.3876,52.626
2014.42665,36.6459,45.8473,47.0675,50.7953,56.0576,56.9339,61.3521
2014.46346,36.9187,46.1844,47.4393,51.1633,56.5346,57.4279,61.9727
2014.471,36.9757,46.255,47.517,51.2405,56.6347,57.5316,62.1035
2014.51688,37.3318,46.6958,48.0016,51.7239,57.2604,58.1807,62.9253
2014.54861,37.5882,47.013,48.3495,52.0729,57.7107,58.6481,63.5202
2014.56043,37.6861,47.1341,48.4821,52.2062,57.8822,58.8262,63.7476
2014.64186,38.3992,48.0123,49.4386,53.1727,59.1193,60.1109,65.3971
2015.23296,46.1446,57.3071,59.2061,63.2098,71.2984,72.5785,81.9319
2015.30228,47.3867,58.8219,60.7524,64.8031,73.1324,74.412,84.4045
2015.31215,47.57,59.0466,60.9809,65.0385,73.4012,74.6796,84.7636
2015.37546,48.7837,60.5427,62.4972,66.5989,75.1663,76.4283,87.0913
2015.40703,49.4139,61.3255,63.287,67.4103,76.0679,77.3164,88.2605
2015.42187,49.7163,61.7025,63.6665,67.7991,76.4958,77.7368,88.8108
2015.5158,51.7188,64.2079,66.1683,70.3401,79.2332,80.4124,92.2607
2016.00707,63.4802,77.6653,79.1722,82.9482,91.5861,92.3335,106.0322
2016.11928,65.9427,80.017,81.377,84.9453,93.3322,94.0247,107.6286
2016.12573,66.0766,80.1376,81.4893,85.0449,93.4166,94.1068,107.7046
2016.19534,67.4611,81.3325,82.5964,86.0101,94.221,94.895,108.4383
2016.22397,67.9955,81.7646,82.9936,86.3477,94.5009,95.172,108.6989
2016.23428,68.1827,81.9116,83.1283,86.4612,94.5953,95.2658,108.7877
2016.3461,70.0182,83.2338,84.333,87.4543,95.4289,96.1079,109.607
2016.93736,75.7569,86.185,86.9539,89.3054,97.5854,98.5731,113.3934
2017.06731,76.89,86.7777,87.5124,89.7529,98.3614,99.452,115.0885
2017.07767,76.9882,86.8348,87.5672,89.7998,98.4397,99.5388,115.2467
2017.1545,77.7679,87.3205,88.0379,90.216,99.109,100.2697,116.5233
2017.17388,77.9809,87.4627,88.1768,90.3424,99.302,100.4776,116.8729
2017.17987,78.0483,87.5085,88.2216,90.3833,99.3637,100.5439,116.9833
2017.26042,79.0323,88.2088,88.9092,91.0179,100.28,101.5193,118.5647
2017.76701,88.75,95.7076,96.3337,98.0511,109.0742,110.5717,131.4853
2017.92936,92.8136,98.8871,99.488,101.0549,112.5499,114.089,135.9921
2017.94157,93.1292,99.1333,99.7322,101.2873,112.8143,114.3559,136.3236
2018.03265,95.509,100.9855,101.5686,103.0329,114.7809,116.3386,138.7395
2018.04454,95.822,101.2284,101.8093,103.2614,115.0358,116.5953,139.0461
2018.04959,95.9552,101.3317,101.9116,103.3586,115.144,116.7043,139.1758
2018.08923,97.0004,102.141,102.7134,104.1193,115.9875,117.5534,140.1773
